"Day","Month","Year","Frequency"
"1","6","1950","14"
"21","3","1979","50"
"29","6","1970","17"
"8","11","1972","8"
"11","0","1917","20"
"4","2","1960","4"
"15","8","1947","2"
"19","7","1964","10"
"15","7","1911","1"
"10","8","1929","15"
"21","9","1934","8"
"24","7","2003","35"
"8","7","2007","41"
"27","1","1937","8"
"7","11","1927","16"
"16","7","1994","81"
"28","11","1944","4"
"21","8","1997","32"
"25","7","1988","152"
"21","9","1921","27"
"14","1","1986","126"
"6","4","2003","36"
"25","7","1960","4"
"19","10","1986","222"
"23","6","1926","8"
"15","10","1949","4"
"25","6","1960","7"
"1","5","1980","54"
"16","9","1964","8"
"21","4","1939","4"
"27","8","1933","12"
"25","10","1997","54"
"6","10","2012","6"
"31","9","1999","6"
"29","0","1953","7"
"29","5","1917","7"
"5","4","1916","2"
"3","10","1939","2"
"8","8","1968","14"
"9","1","1940","4"
"11","1","1977","44"
"7","9","1978","22"
"26","3","1952","1"
"21","0","1929","27"
"16","10","1959","10"
"15","9","1997","27"
"22","11","2001","52"
"26","7","1948","3"
"14","3","1965","4"
"5","10","1965","3"
"28","5","1999","30"
"27","11","1983","95"
"5","8","1968","13"
"1","5","1933","10"
"12","6","1927","9"
"8","4","2002","38"
"28","3","1949","6"
"10","8","1923","14"
"1","11","1945","9"
"13","4","1991","138"
"11","5","1918","5"
"26","10","1963","4"
"6","11","1960","7"
"11","11","1978","52"
"21","7","1932","11"
"20","5","1950","8"
"19","2","1974","33"
"24","8","1948","3"
"3","9","1938","3"
"24","1","1969","7"
"27","2","1958","2"
"28","8","1985","94"
"2","0","1932","12"
"22","9","1964","11"
"9","11","1989","151"
"22","0","1954","2"
"16","5","1916","9"
"28","10","1990","229"
"2","4","1969","7"
"31","9","1950","2"
"7","2","1924","4"
"5","1","1952","4"
"2","6","1948","1"
"5","1","1997","24"
"28","3","1993","95"
"16","1","1989","162"
"10","7","1933","9"
"16","9","1954","1"
"29","6","1979","43"
"11","6","1999","44"
"4","10","1971","17"
"18","11","1957","1"
"6","3","1964","5"
"27","9","1929","6"
"12","9","1969","20"
"15","9","1948","3"
"18","7","1966","3"
"7","10","1985","89"
"31","0","1946","25"
"5","9","1958","4"
"26","2","1945","5"
"4","3","1913","2"
"13","10","1958","9"
"3","8","1930","2"
"9","7","1993","77"
"6","4","2011","4"
"21","1","1923","12"
"25","6","1993","106"
"28","8","1994","75"
"22","8","2005","87"
"25","2","1997","44"
"27","3","1968","14"
"21","8","1988","168"
"14","1","1971","10"
"13","9","1985","128"
"3","11","1992","117"
"6","10","1944","1"
"17","8","2002","60"
"11","11","1943","6"
"31","11","1959","2"
"29","9","2005","61"
"10","3","1982","73"
"26","2","1993","109"
"19","3","1903","94"
"27","8","1937","2"
"9","0","1939","1"
"10","0","1989","226"
"6","1","1972","12"
"20","6","1986","133"
"6","7","1975","30"
"17","6","1934","11"
"16","8","1953","1"
"3","3","2004","62"
"4","1","1973","10"
"5","1","1976","9"
"9","2","1946","3"
"30","0","1965","14"
"19","4","2004","48"
"28","1","1967","8"
"7","2","1963","3"
"27","0","1987","153"
"2","1","1921","3"
"8","7","1939","2"
"4","2","1998","24"
"27","10","1916","11"
"16","10","1955","5"
"24","6","1981","57"
"7","4","1981","52"
"8","5","1934","4"
"26","9","1920","4"
"1","0","1984","74"
"20","7","1921","21"
"30","7","1995","54"
"15","2","1955","5"
"28","6","1973","15"
"25","4","1934","15"
"29","6","1961","7"
"10","10","1949","7"
"9","4","1976","18"
"30","4","2003","30"
"27","11","1997","44"
"2","10","1996","39"
"9","8","1932","2"
"5","6","1930","11"
"16","10","1932","25"
"5","3","1959","1"
"23","8","1954","2"
"5","3","2010","9"
"28","3","1994","94"
"2","9","2011","8"
"10","6","1946","2"
"20","9","1950","5"
"1","8","1942","7"
"27","10","1957","3"
"19","10","2003","53"
"2","0","1980","37"
"18","4","1966","6"
"4","5","1985","112"
"13","10","1924","10"
"18","3","1921","17"
"14","5","1987","160"
"5","1","1914","3"
"13","6","1998","31"
"3","5","1929","22"
"24","0","2012","10"
"29","10","1992","171"
"21","4","1973","25"
"21","5","2000","30"
"1","9","1999","32"
"3","2","1995","154"
"3","3","1951","4"
"18","8","1930","13"
"13","7","1945","1"
"15","8","1997","30"
"7","2","2009","32"
"22","6","1999","28"
"12","0","1921","29"
"22","3","1977","40"
"27","2","1994","83"
"8","0","1966","10"
"18","6","1990","159"
"15","6","1936","7"
"5","6","1958","2"
"13","0","1969","21"
"27","3","1991","146"
"24","5","1966","13"
"24","11","1929","21"
"5","11","1913","12"
"15","1","1948","1"
"21","5","1958","5"
"23","3","2000","35"
"20","9","2009","144"
"10","1","2003","54"
"27","1","1985","86"
"13","1","1913","11"
"21","6","1963","14"
"29","10","1979","63"
"12","1","1936","8"
"20","8","1976","31"
"1","7","1960","5"
"30","2","1955","3"
"17","3","2000","37"
"22","2","1931","12"
"8","9","2012","14"
"21","11","1917","16"
"11","7","1971","16"
"1","3","1943","3"
"28","2","1972","15"
"22","7","2009","19"
"30","10","1944","3"
"13","2","2010","7"
"25","9","1975","20"
"12","11","2004","98"
"10","10","1928","32"
"21","11","1970","16"
"29","6","1931","12"
"24","2","1941","5"
"18","10","1939","4"
"23","1","1999","39"
"1","2","1965","21"
"20","8","2005","113"
"28","0","1971","23"
"30","10","1948","6"
"18","4","1948","1"
"3","10","1959","6"
"21","2","1996","61"
"4","5","2002","39"
"1","4","1966","21"
"18","1","1919","12"
"13","6","1928","22"
"9","4","1999","27"
"23","6","1941","6"
"12","0","1949","13"
"21","4","2002","40"
"13","7","1980","53"
"9","10","1946","4"
"9","11","2004","64"
"21","11","1955","10"
"11","3","1968","10"
"23","3","1988","163"
"30","4","1927","3"
"21","0","1983","119"
"22","11","1973","28"
"11","6","1913","5"
"29","4","1924","9"
"19","2","1921","6"
"25","0","1988","197"
"11","0","1963","9"
"10","2","2004","86"
"9","8","1929","2"
"18","4","2011","8"
"1","11","2005","140"
"23","8","2002","47"
"19","1","1975","33"
"1","5","1926","9"
"19","4","1964","4"
"19","2","1938","3"
"3","5","1993","100"
"21","7","1962","4"
"5","3","1925","5"
"6","5","1957","2"
"13","7","1997","19"
"1","11","1940","3"
"30","11","1926","8"
"14","8","1921","20"
"30","5","1936","5"
"29","4","1913","6"
"17","6","1958","4"
"2","1","1998","20"
"17","10","1987","190"
"28","2","1978","31"
"28","0","2001","67"
"28","0","1965","10"
"11","6","1949","1"
"18","10","1974","38"
"15","2","1966","7"
"27","4","1991","125"
"16","1","1966","5"
"7","4","1980","31"
"6","3","1962","4"
"13","3","1929","16"
"3","9","1980","41"
"21","10","1942","7"
"10","1","1924","11"
"25","5","1926","17"
"11","3","1993","150"
"16","7","1944","1"
"18","4","1994","94"
"22","3","1995","97"
"30","3","1950","3"
"21","1","1986","147"
"9","11","1924","6"
"18","5","1937","3"
"24","6","1956","5"
"22","5","1974","21"
"20","9","1953","3"
"3","1","1954","1"
"29","7","1916","6"
"15","4","1915","13"
"4","9","1985","94"
"24","8","1986","103"
"25","10","1975","35"
"19","3","1918","3"
"21","4","1948","3"
"11","8","1967","11"
"28","9","1980","52"
"14","11","1956","15"
"2","9","1935","7"
"27","2","1916","3"
"27","4","1967","3"
"15","8","1918","8"
"24","11","1978","66"
"17","10","1951","3"
"22","7","1992","147"
"14","8","1914","10"
"16","0","2002","40"
"27","3","1938","3"
"21","5","2004","63"
"13","11","1930","35"
"23","4","1949","5"
"2","5","2002","49"
"18","0","1934","13"
"24","6","1918","11"
"7","4","1995","57"
"4","1","1936","1"
"5","4","1981","44"
"18","9","1988","124"
"27","5","1977","39"
"7","9","1913","7"
"19","1","1995","74"
"2","8","1958","3"
"26","6","1927","9"
"29","4","2002","26"
"11","10","1960","6"
"14","8","1941","3"
"19","5","1967","10"
"15","9","2012","10"
"20","0","1910","1"
"25","4","1954","4"
"8","3","2004","48"
"18","8","1999","27"
"25","6","1931","12"
"8","4","1940","1"
"13","1","1987","143"
"24","4","1945","1"
"3","8","2010","16"
"24","7","1964","5"
"20","9","1940","5"
"24","0","1999","45"
"8","6","1953","3"
"9","10","2004","57"
"14","5","1938","3"
"26","10","1991","213"
"25","8","1975","30"
"10","5","1975","17"
"29","3","2007","58"
"11","2","1947","5"
"5","10","1999","20"
"25","9","1995","70"
"21","10","1988","230"
"20","1","2006","104"
"23","2","1971","10"
"1","5","1988","127"
"13","1","1964","9"
"10","8","1962","7"
"21","6","1957","2"
"6","11","2010","6"
"15","6","1933","10"
"2","5","1998","20"
"16","9","1961","5"
"29","4","1961","4"
"14","0","1943","5"
"13","1","2004","36"
"4","11","1935","6"
"3","2","1939","3"
"12","1","1950","10"
"6","9","1948","2"
"24","3","1968","9"
"3","7","2005","44"
"11","2","1992","149"
"17","1","1971","19"
"23","10","1930","36"
"24","4","1989","167"
"27","4","1942","3"
"4","10","1980","42"
"15","9","2008","44"
"1","9","1981","100"
"23","7","1969","11"
"25","7","1999","17"
"9","7","1998","9"
"18","9","1999","33"
"13","10","1994","144"
"22","4","1999","29"
"18","7","1931","11"
"13","5","1954","6"
"2","7","1988","100"
"19","8","2003","44"
"19","2","1946","3"
"18","5","1984","85"
"13","3","1997","32"
"11","1","1991","128"
"23","6","1956","5"
"29","0","1971","19"
"24","3","1992","133"
"22","2","1937","6"
"27","3","1916","5"
"22","9","1980","63"
"6","0","1967","3"
"26","4","1925","8"
"7","1","1937","5"
"22","1","1918","6"
"15","5","1959","5"
"7","1","1999","19"
"8","6","1945","2"
"12","1","1951","3"
"11","4","1967","2"
"19","2","1982","116"
"6","4","1995","55"
"27","8","1926","10"
"24","6","1932","13"
"2","6","1925","5"
"20","10","1990","244"
"22","6","1971","17"
"28","2","1958","2"
"15","4","2005","58"
"16","1","1998","32"
"5","2","1926","6"
"2","11","1919","6"
"3","9","1994","75"
"26","3","1973","18"
"24","5","1945","4"
"6","9","1923","12"
"16","0","2009","47"
"14","6","1992","131"
"20","0","1961","13"
"26","4","1936","11"
"3","6","1916","6"
"22","7","1967","6"
"8","0","1985","77"
"30","8","1937","1"
"4","5","1987","124"
"2","11","1993","109"
"14","3","1920","15"
"29","5","1933","14"
"2","0","1941","3"
"13","7","1966","10"
"13","0","1979","74"
"18","0","1963","11"
"31","6","1981","1"
"26","5","1957","5"
"2","9","2000","21"
"14","9","1993","100"
"8","2","1918","2"
"9","4","1998","17"
"28","10","1953","3"
"12","10","2010","10"
"4","5","1981","63"
"7","8","2007","79"
"8","2","1992","93"
"10","7","1993","108"
"9","5","2011","10"
"8","3","1941","2"
"10","3","2003","54"
"16","0","1958","9"
"15","10","1937","4"
"28","4","1940","2"
"12","3","1957","7"
"21","9","1942","4"
"7","9","1942","3"
"17","8","1949","3"
"24","7","1918","6"
"11","0","1985","129"
"20","8","2003","55"
"1","9","1995","156"
"26","4","1953","2"
"19","9","1935","7"
"11","9","1973","17"
"4","3","2003","34"
"20","1","1984","81"
"13","8","1925","15"
"13","5","1921","16"
"25","2","2000","37"
"28","8","2012","7"
"5","5","2011","5"
"8","8","1975","32"
"30","2","1951","1"
"21","6","1929","18"
"19","6","1927","13"
"22","0","1930","21"
"17","1","1932","9"
"25","10","1992","147"
"14","1","1925","16"
"8","3","1993","96"
"16","11","1949","3"
"12","4","1986","161"
"8","6","1915","1"
"23","4","1978","51"
"20","4","1931","11"
"3","1","1933","10"
"19","7","1912","1"
"24","10","1922","10"
"17","11","1958","7"
"20","4","1919","10"
"19","10","1970","24"
"1","7","2011","10"
"29","6","1962","5"
"5","3","1936","4"
"19","8","1924","12"
"22","8","1939","3"
"24","5","1997","49"
"25","5","1984","117"
"15","9","2001","43"
"13","11","1913","24"
"17","9","1937","5"
"9","2","1978","33"
"30","9","1915","4"
"3","7","1980","57"
"8","8","1967","7"
"10","10","1907","2"
"8","6","1997","29"
"14","9","1924","12"
"17","1","1967","5"
"23","5","1935","6"
"25","1","1930","15"
"21","4","1943","4"
"25","2","1970","11"
"24","7","1981","74"
"28","0","2005","118"
"18","0","1926","23"
"6","7","1934","7"
"3","6","1946","2"
"25","11","1994","126"
"1","4","1933","24"
"6","5","1914","3"
"26","6","1923","8"
"17","8","1931","22"
"9","1","1989","102"
"17","8","1960","5"
"22","2","1994","107"
"3","6","1910","1"
"26","5","1974","22"
"20","7","1969","23"
"22","4","1946","1"
"24","11","1902","1"
"8","1","1939","3"
"29","3","2004","57"
"9","10","1932","8"
"23","2","2006","70"
"8","2","1922","2"
"22","8","1911","1"
"7","2","1926","11"
"26","8","1973","14"
"28","9","1947","2"
"13","0","1930","25"
"16","10","1969","19"
"23","10","1948","2"
"13","1","1945","3"
"19","0","1982","137"
"24","6","2002","40"
"17","10","1965","11"
"15","4","1950","6"
"29","9","1924","6"
"1","1","2005","171"
"23","11","1975","48"
"4","1","1964","6"
"23","1","1981","51"
"12","6","1949","5"
"7","2","2002","33"
"5","10","1981","54"
"22","1","1936","12"
"25","9","1926","20"
"28","0","1994","161"
"15","2","1958","4"
"10","6","1987","171"
"31","9","1932","1"
"5","4","1969","7"
"20","3","1921","14"
"19","3","1922","12"
"21","8","1927","18"
"20","4","1989","171"
"2","1","1969","6"
"25","4","2004","45"
"20","1","1983","91"
"20","7","2006","77"
"17","11","2002","53"
"26","7","2012","2"
"21","9","1917","4"
"28","6","1970","7"
"9","9","1947","1"
"11","9","1960","8"
"5","10","1969","8"
"12","0","1943","2"
"15","1","1962","4"
"28","3","1916","5"
"26","8","1945","2"
"30","8","1982","69"
"28","11","1965","4"
"10","7","1967","6"
"19","1","1939","5"
"2","10","1993","96"
"31","7","1917","3"
"26","10","1982","101"
"11","2","1950","3"
"17","9","1993","118"
"14","11","1978","73"
"12","3","1935","6"
"21","4","2005","69"
"18","8","1987","157"
"25","6","1923","16"
"2","3","1925","8"
"29","5","2011","8"
"28","7","1926","6"
"12","0","1988","224"
"30","7","1993","82"
"15","11","1953","3"
"29","11","1961","9"
"26","5","1935","6"
"25","7","1996","51"
"26","11","1997","44"
"18","10","1992","154"
"12","9","1975","23"
"10","0","1933","24"
"17","6","1967","8"
"4","2","1913","3"
"18","10","2006","128"
"26","1","1971","19"
"25","5","1956","2"
"13","5","1983","95"
"4","0","1968","5"
"21","1","1997","39"
"23","4","1943","1"
"28","3","1920","10"
"2","9","2003","38"
"1","6","2002","57"
"15","9","1969","12"
"20","0","1964","13"
"20","3","1969","9"
"5","0","1923","10"
"15","1","1947","2"
"13","3","1932","28"
"20","0","1987","162"
"16","3","1972","11"
"27","6","1982","72"
"14","10","1940","6"
"30","6","1964","5"
"5","6","1975","19"
"21","6","1950","2"
"23","3","1991","161"
"31","2","1958","3"
"28","11","1987","176"
"10","0","2011","64"
"8","2","2010","3"
"12","4","1971","11"
"21","9","1923","11"
"21","3","1965","15"
"27","5","1927","13"
"17","8","1990","170"
"9","7","1933","10"
"19","0","1964","15"
"19","10","1920","20"
"27","5","1998","22"
"9","11","2002","32"
"16","7","1962","5"
"23","10","1926","20"
"23","0","1971","21"
"16","5","1977","25"
"27","4","1994","96"
"25","10","1950","11"
"16","2","1996","79"
"30","5","2010","2"
"12","3","1979","62"
"30","2","1968","4"
"7","2","1957","3"
"8","0","1945","4"
"23","4","1957","3"
"3","1","1973","18"
"18","5","1989","191"
"30","8","1922","7"
"29","9","1980","47"
"23","10","1959","10"
"28","4","1978","30"
"29","2","1927","8"
"19","11","1962","12"
"16","10","1920","23"
"2","2","1933","17"
"4","8","1915","3"
"6","4","1946","1"
"22","7","1998","19"
"4","0","1915","6"
"24","3","1972","18"
"11","5","1969","11"
"16","3","1937","2"
"5","8","1915","4"
"19","8","1933","14"
"4","5","1932","10"
"28","8","1933","12"
"11","0","1978","36"
"9","9","1997","32"
"19","2","1902","18"
"10","8","1932","12"
"13","6","1984","101"
"1","6","1998","50"
"12","5","1927","11"
"17","1","1974","21"
"16","2","1913","14"
"3","1","1926","7"
"6","11","1977","26"
"15","10","1978","55"
"30","5","1996","50"
"2","6","2001","31"
"2","9","1966","2"
"9","3","1936","3"
"18","9","1985","102"
"2","7","2010","7"
"14","8","1917","7"
"11","3","1995","80"
"29","0","2000","43"
"19","2","1931","14"
"8","7","2012","5"
"30","4","1945","3"
"17","9","1958","7"
"31","9","1989","2"
"25","6","1977","35"
"23","11","1974","27"
"21","8","1913","8"
"19","3","1984","130"
"1","7","1927","4"
"20","7","1978","34"
"30","11","1970","24"
"25","6","1934","11"
"31","0","1943","3"
"14","9","1969","10"
"13","3","1984","91"
"18","10","1988","213"
"14","1","1975","17"
"22","3","1949","3"
"14","5","1974","17"
"11","7","1905","1"
"16","6","1993","110"
"18","8","1913","11"
"21","8","1958","3"
"4","2","1922","2"
"1","0","1940","2"
"8","0","1936","6"
"2","9","2007","79"
"23","2","1984","97"
"18","8","1992","150"
"7","8","2000","32"
"1","5","1957","3"
"10","0","2002","57"
"12","5","1937","7"
"15","10","1942","4"
"15","9","2003","44"
"6","8","1936","3"
"22","5","1985","120"
"30","2","1975","1"
"7","4","1983","47"
"25","11","2000","78"
"24","6","2010","3"
"29","5","1948","2"
"20","2","1947","5"
"5","1","1988","111"
"19","10","1910","28"
"31","9","1978","2"
"2","7","1964","11"
"19","11","1922","26"
"26","8","1930","13"
"28","1","1933","11"
"7","10","1949","1"
"10","0","1950","2"
"14","4","1956","4"
"15","6","2001","43"
"20","7","2012","21"
"2","10","1961","3"
"2","2","1979","81"
"16","1","1930","22"
"12","0","1944","6"
"29","5","1924","7"
"23","10","1987","242"
"27","0","1973","19"
"15","5","1914","3"
"4","5","1996","51"
"9","0","1932","15"
"23","9","2012","7"
"20","4","1945","1"
"12","4","1993","111"
"26","11","2003","61"
"1","4","1997","77"
"26","2","2006","86"
"25","7","1943","2"
"5","3","1922","10"
"20","5","1911","1"
"24","0","1938","6"
"24","10","1915","8"
"19","10","1918","27"
"16","1","1945","1"
"3","3","1993","163"
"26","1","1993","107"
"16","2","2011","5"
"28","9","1932","17"
"27","2","1920","4"
"9","9","1926","8"
"22","3","1966","8"
"2","7","1997","33"
"20","6","1914","12"
"15","3","1995","89"
"31","9","1987","5"
"13","3","2001","26"
"14","7","1963","8"
"27","9","2012","5"
"9","4","1965","2"
"2","3","1931","6"
"28","8","1922","10"
"22","2","1930","20"
"18","6","1935","7"
"8","0","2003","29"
"23","4","2006","84"
"20","11","1928","17"
"14","8","1969","18"
"22","10","1947","10"
"5","2","1964","9"
"18","1","1959","2"
"11","7","1932","17"
"11","11","1981","74"
"3","10","2001","29"
"4","11","1932","11"
"25","8","1990","179"
"20","11","1976","53"
"5","4","1929","5"
"7","1","1956","2"
"5","2","1939","2"
"19","2","1917","5"
"15","10","2008","42"
"27","7","1919","3"
"24","11","1984","149"
"23","11","2003","84"
"10","10","1995","133"
"27","8","1986","98"
"20","0","1946","4"
"28","0","1990","234"
"23","4","1927","12"
"21","3","1951","4"
"15","0","1984","131"
"30","5","1930","16"
"19","10","2007","103"
"27","0","1952","7"
"20","2","1981","49"
"12","10","1970","20"
"28","1","1926","8"
"6","1","1954","4"
"7","1","1943","3"
"29","0","2012","9"
"22","10","1938","5"
"22","8","1956","6"
"5","0","1969","11"
"15","11","2003","71"
"21","2","2002","36"
"10","9","1945","1"
"10","6","1972","16"
"16","9","1914","6"
"3","1","1990","114"
"27","10","1974","30"
"22","10","2002","82"
"13","10","1931","20"
"19","0","1934","11"
"28","2","1997","34"
"11","0","1947","4"
"27","9","1963","4"
"23","1","1917","4"
"20","4","1925","10"
"22","8","1993","103"
"14","1","1950","8"
"11","1","1929","6"
"9","8","1927","4"
"13","8","1960","6"
"20","9","1983","85"
"27","8","1952","3"
"13","1","1971","17"
"18","1","2001","28"
"30","5","1949","1"
"26","11","2012","8"
"7","8","2004","61"
"11","10","1955","3"
"12","2","1929","8"
"20","2","1953","7"
"7","11","1938","3"
"1","9","2000","63"
"9","8","1985","80"
"28","6","1958","2"
"2","4","2003","25"
"12","3","1955","6"
"14","1","1918","4"
"15","4","1952","2"
"21","6","1947","2"
"23","6","1934","17"
"7","3","1977","22"
"2","11","1955","3"
"24","8","1995","71"
"14","11","1951","7"
"5","11","1968","9"
"16","1","1952","2"
"11","2","1920","17"
"13","4","1957","2"
"24","5","2000","29"
"3","2","2003","65"
"9","3","1989","108"
"27","8","1960","6"
"24","2","1980","41"
"11","11","1932","15"
"8","5","1940","2"
"1","6","1996","120"
"8","4","1993","93"
"21","3","1985","124"
"25","8","1913","9"
"13","0","1965","17"
"16","8","1973","20"
"30","3","2010","5"
"23","2","1924","12"
"21","7","1990","155"
"1","4","1955","9"
"23","5","1955","6"
"5","4","1966","6"
"29","7","1954","1"
"17","11","1925","24"
"11","2","1975","28"
"16","11","1968","10"
"10","4","1985","100"
"9","8","1963","3"
"29","10","1915","10"
"1","2","1994","164"
"4","8","1998","21"
"6","8","1999","25"
"15","5","1973","18"
"15","0","1911","1"
"20","0","1997","80"
"4","4","1989","165"
"5","0","1956","5"
"15","9","1933","15"
"15","3","1994","89"
"15","0","1943","3"
"13","11","1993","128"
"30","3","1961","1"
"6","5","1973","8"
"25","8","1982","81"
"20","11","1923","33"
"28","9","1923","8"
"30","6","1986","104"
"30","7","2010","9"
"21","4","1985","101"
"8","4","1984","56"
"28","6","1934","13"
"9","7","1964","5"
"7","3","1933","6"
"17","10","1947","6"
"9","5","2005","68"
"12","5","1963","9"
"8","11","2004","62"
"18","9","1983","90"
"26","6","1949","3"
"10","1","2001","62"
"27","3","2004","64"
"28","5","1920","2"
"9","4","2005","67"
"25","0","2003","71"
"18","0","1930","27"
"4","6","1989","134"
"1","9","1997","61"
"8","7","1971","11"
"17","11","2004","74"
"7","7","2007","988"
"27","10","1995","110"
"30","10","1930","42"
"1","0","1919","6"
"21","9","2001","37"
"31","6","1970","4"
"11","10","1935","5"
"8","10","1915","7"
"17","1","1983","61"
"11","9","1984","107"
"16","2","1917","11"
"14","8","2004","104"
"5","5","1928","14"
"23","7","1924","16"
"7","6","1949","3"
"4","10","1959","1"
"12","1","1980","63"
"6","2","1941","1"
"28","8","1932","12"
"31","9","1981","2"
"7","0","1985","85"
"13","6","1997","37"
"13","8","1947","2"
"20","8","1952","6"
"25","1","1946","2"
"18","6","1923","12"
"6","8","1960","5"
"1","1","1973","30"
"2","0","2008","68"
"20","9","1937","5"
"15","10","2001","38"
"21","1","1949","3"
"7","9","1966","3"
"12","3","1977","40"
"2","11","1991","100"
"31","0","1959","10"
"20","4","1987","127"
"13","4","1929","21"
"26","3","1993","110"
"15","0","1955","10"
"23","7","1945","5"
"19","8","1930","14"
"12","8","1925","13"
"14","5","1946","1"
"22","6","1975","17"
"17","8","1988","142"
"11","7","1934","7"
"19","4","1963","7"
"15","4","1981","59"
"28","7","1966","5"
"6","3","2007","77"
"5","0","1944","3"
"26","2","1973","15"
"27","1","1996","53"
"3","4","1989","148"
"24","7","1985","99"
"1","11","1933","28"
"26","8","1967","8"
"18","0","1916","6"
"28","2","1957","7"
"7","1","1998","16"
"19","0","1992","258"
"27","3","1919","5"
"15","4","1969","11"
"2","8","1939","1"
"9","11","1945","1"
"5","7","1934","7"
"4","11","2009","23"
"24","5","1925","12"
"27","9","1942","3"
"15","11","1969","22"
"16","4","1916","9"
"20","3","1933","17"
"23","3","1946","5"
"15","10","1980","96"
"2","6","1937","3"
"3","8","1919","7"
"19","9","1989","240"
"27","10","1933","16"
"5","3","2006","87"
"9","3","1966","8"
"17","11","1980","64"
"22","8","2003","55"
"2","8","1974","19"
"23","7","1948","4"
"14","4","1920","13"
"18","9","1986","112"
"23","5","1966","11"
"18","7","1996","43"
"21","4","1922","7"
"25","3","1998","32"
"16","9","1946","3"
"16","8","1931","11"
"26","11","1927","31"
"13","4","1999","14"
"12","10","1913","17"
"11","1","1948","3"
"12","8","1998","35"
"6","6","1985","96"
"25","5","1941","2"
"24","1","1924","13"
"26","2","1933","15"
"24","10","1937","7"
"26","3","1948","1"
"24","7","1924","10"
"10","5","1915","5"
"21","10","1986","212"
"11","7","1995","76"
"12","11","1951","5"
"24","2","1979","45"
"23","8","1939","2"
"20","9","1971","19"
"10","7","1904","1"
"26","5","2000","28"
"12","3","1995","59"
"25","4","1967","10"
"21","1","1972","16"
"17","4","1996","61"
"13","1","1930","45"
"25","5","1947","2"
"7","3","2002","23"
"20","11","1951","6"
"16","7","2001","20"
"27","1","2009","22"
"18","5","1945","3"
"27","7","2006","74"
"18","6","1927","12"
"5","6","1988","135"
"25","8","2003","51"
"20","11","1934","11"
"11","10","1938","3"
"7","9","2011","9"
"20","9","1989","203"
"22","4","1957","4"
"3","8","1992","115"
"5","10","1944","2"
"6","8","1938","3"
"17","0","2013","27"
"12","3","1994","103"
"21","2","1918","12"
"1","10","1933","14"
"1","9","1911","1"
"2","7","1907","1"
"21","11","1992","156"
"13","0","1988","180"
"30","3","1937","3"
"13","2","1916","11"
"15","0","1945","6"
"16","11","1999","28"
"27","7","1932","9"
"16","1","2010","8"
"11","7","1962","3"
"23","4","1934","4"
"29","4","1964","7"
"11","2","1919","10"
"18","0","1936","17"
"23","9","1948","2"
"12","6","1965","9"
"15","2","1919","23"
"17","7","1923","15"
"4","2","1945","2"
"11","3","1970","15"
"9","10","1966","7"
"10","0","1919","26"
"12","10","1996","58"
"10","3","1932","16"
"28","2","1991","145"
"14","1","1967","7"
"23","0","2007","164"
"13","1","1962","2"
"30","7","1921","5"
"11","5","1924","9"
"7","1","1950","3"
"30","9","1929","8"
"27","5","1925","3"
"23","7","2007","91"
"20","9","1904","2"
"21","8","1940","6"
"6","0","1968","4"
"29","2","1948","1"
"12","2","1983","88"
"5","7","1913","4"
"19","0","1928","27"
"14","1","1958","3"
"13","2","1995","70"
"5","3","2000","21"
"16","8","1968","3"
"28","5","1993","109"
"14","6","1964","5"
"24","6","1947","7"
"17","4","1933","17"
"14","2","1943","4"
"5","1","2011","5"
"10","1","1943","1"
"4","0","1999","19"
"19","1","1963","7"
"26","11","1959","9"
"25","4","1940","2"
"13","2","1965","7"
"8","6","1921","6"
"20","0","1914","10"
"8","3","1963","4"
"8","6","2007","47"
"17","9","1957","3"
"23","7","1914","9"
"6","2","1969","8"
"1","7","2001","29"
"14","0","1948","4"
"26","1","1914","8"
"12","10","1991","179"
"28","10","1921","14"
"11","5","1927","8"
"23","10","1969","31"
"4","5","1976","23"
"23","7","1930","18"
"28","0","1962","10"
"7","8","1917","2"
"28","5","1978","25"
"11","0","1966","16"
"10","0","1984","109"
"17","3","1916","6"
"17","1","1995","75"
"28","1","1980","101"
"3","3","1931","10"
"30","4","2000","25"
"21","3","1939","4"
"8","0","1952","7"
"25","7","1931","14"
"27","10","2002","44"
"13","10","1957","7"
"12","11","1968","9"
"29","8","1998","28"
"23","11","1918","18"
"17","8","1956","7"
"11","2","1934","21"
"26","11","1994","118"
"1","5","1999","17"
"28","10","1950","4"
"31","11","1933","1"
"9","7","1999","18"
"29","4","1955","4"
"1","9","1928","17"
"15","0","1948","7"
"2","5","1984","75"
"24","6","1972","13"
"3","11","1968","12"
"17","3","1936","3"
"28","9","1949","6"
"8","7","1981","33"
"19","3","1968","22"
"29","4","1989","135"
"5","7","2010","10"
"9","10","1933","13"
"11","3","1929","14"
"19","7","1959","6"
"15","0","1996","109"
"2","5","1941","2"
"23","3","2003","78"
"10","5","1986","107"
"23","9","1947","4"
"22","7","1979","40"
"18","10","1993","162"
"14","0","1990","296"
"8","6","1975","11"
"12","10","1969","21"
"24","7","1986","117"
"12","8","1965","12"
"20","3","1936","7"
"17","2","1954","3"
"23","8","1983","82"
"20","6","2010","20"
"17","3","1956","10"
"15","4","1912","4"
"8","4","1987","106"
"17","8","1947","1"
"30","3","1931","19"
"6","9","1962","5"
"19","0","1996","166"
"26","1","2007","86"
"19","3","1979","54"
"20","5","1965","3"
"7","11","1918","11"
