"Word","G2","G2 Ranking","Relative Frequency Difference Ranking","Relative Frequency Difference","Relative frequency - BNC","Relative frequency - Passwords","Absolute frequency - BNC","Absolute frequency - Passwords"
"identical","-1392.1218439923728","8328","8075","-2.1569358E-5","2.1767306E-5","1.9794805E-7","2179","8"
"returns","-1391.8016777084226","8329","7330","-2.5086763E-5","2.64724E-5","1.3856363E-6","2650","56"
"caval","1391.6369327549635","8330","10314","1.4454511E-5","6.99271E-8","1.45244385E-5","7","587"
"enjoying","-1391.5525542039682","8331","8044","-2.166449E-5","2.1887181E-5","2.2269155E-7","2191","9"
"cain","1391.4990198868886","8332","8462","1.9978004E-5","1.5983336E-6","2.1576338E-5","160","872"
"massie","1391.06529608217","8333","10054","1.5136418E-5","1.7981253E-7","1.5316231E-5","18","619"
"colors","1390.3471464783654","8334","9935","1.5447633E-5","2.3975005E-7","1.5687383E-5","24","634"
"disposal","-1389.9661944514694","8335","8157","-2.1204049E-5","2.1327765E-5","1.2371753E-7","2135","5"
"uniform","-1389.7881763276969","8336","7411","-2.4640616E-5","2.5853047E-5","1.2124318E-6","2588","49"
"idiot","1389.7327360776612","8337","6728","2.8429846E-5","6.4832407E-6","3.4913086E-5","649","1411"
"iller","1388.8710677950585","8338","10387","1.4276543E-5","4.9947925E-8","1.4326491E-5","5","579"
"quinn","1388.1302819406542","8339","6693","2.8631177E-5","6.653064E-6","3.528424E-5","666","1426"
"bennie","1387.8944986859021","8340","10505","1.4009589E-5","1.997917E-8","1.4029568E-5","2","567"
"removal","-1387.665522339345","8341","8193","-2.1048978E-5","2.1147953E-5","9.897403E-8","2117","4"
"bobs","1387.6500360257419","8342","9009","1.8073983E-5","9.2903144E-7","1.9003013E-5","93","768"
"tomcat","1386.857694827373","8343","9929","1.5462387E-5","2.4973963E-7","1.5712127E-5","25","635"
"gae","1386.6998320340456","8344","10335","1.4405024E-5","6.99271E-8","1.4474951E-5","7","585"
"zilla","1386.6858539611578","8345","10548","1.389586E-5","9.989585E-9","1.390585E-5","1","562"
"roger","1386.420360547891","8346","4709","4.5706096E-5","2.575315E-5","7.1459246E-5","2578","2888"
"enables","-1386.3165574470468","8347","8200","-2.1028998E-5","2.1127973E-5","9.897403E-8","2115","4"
"admission","-1385.4645817612673","8348","7898","-2.2315657E-5","2.2736296E-5","4.206396E-7","2276","17"
"meteor","1384.739719248103","8349","9223","1.7422504E-5","7.3922934E-7","1.8161734E-5","74","734"
"obliged","-1384.4775280701879","8350","8297","-2.0583771E-5","2.0608515E-5","2.4743507E-8","2063","1"
"expecting","-1383.8909062409762","8351","8150","-2.1229253E-5","2.1377713E-5","1.4846104E-7","2140","6"
"tables","-1383.8358999772374","8352","6997","-2.6988779E-5","2.9339411E-5","2.3506332E-6","2937","95"
"wear","-1383.580277582268","8353","5297","-3.927164E-5","5.134647E-5","1.2074831E-5","5140","488"
"deri","1383.5680737343948","8354","10319","1.4444522E-5","7.991668E-8","1.45244385E-5","8","587"
"libraries","-1383.5143697918486","8355","8129","-2.1334374E-5","2.1507578E-5","1.7320454E-7","2153","7"
"saint","1383.1959104407226","8356","5814","3.497675E-5","1.2407065E-5","4.7383815E-5","1242","1915"
"posts","-1383.0782810205149","8357","7990","-2.192514E-5","2.2246806E-5","3.216656E-7","2227","13"
"randi","1383.0114521036526","8358","10002","1.5269665E-5","2.1977088E-7","1.5489435E-5","22","626"
"peeps","1382.0277940669223","8359","9953","1.54129E-5","2.4973963E-7","1.566264E-5","25","633"
"hore","1381.4458935623986","8360","10415","1.4202312E-5","4.9947925E-8","1.42522595E-5","5","576"
"germans","-1381.3050846481183","8361","7554","-2.3944265E-5","2.4934005E-5","9.897402E-7","2496","40"
"cheesecake","1381.012561359585","8362","9264","1.7279268E-5","7.092606E-7","1.7988528E-5","71","727"
"turtles","1380.9155850845418","8363","8287","2.0623334E-5","1.9180004E-6","2.2541335E-5","192","911"
"packard","1380.8716967198663","8364","8940","1.8335248E-5","1.0389168E-6","1.9374165E-5","104","783"
"sophisticated","-1380.7896540156505","8365","7601","-2.3738787E-5","2.4654297E-5","9.1550976E-7","2468","37"
"ronny","1380.5696543417073","8366","9280","1.7239772E-5","6.9927097E-7","1.7939043E-5","70","725"
"emilie","1379.7905382127078","8367","10152","1.4908962E-5","1.5983336E-7","1.5068796E-5","16","609"
"suspect","-1379.5360687550317","8368","6942","-2.7245127E-5","2.9768964E-5","2.5238376E-6","2980","102"
"inga","1379.2944844870144","8369","10368","1.4330793E-5","6.99271E-8","1.4400721E-5","7","582"
"rockie","1379.2196503703967","8370","10583","1.382163E-5","9.989585E-9","1.383162E-5","1","559"
"generations","-1379.182350640791","8371","8167","-2.1159325E-5","2.1307786E-5","1.4846104E-7","2133","6"
"shop","-1378.3578100253294","8372","3666","-6.13894E-5","1.0733809E-4","4.594869E-5","10745","1857"
"browns","1378.0453717676194","8373","8407","2.0214065E-5","1.7581671E-6","2.1972233E-5","176","888"
"tret","1377.9535689758807","8374","10542","1.3910615E-5","1.997917E-8","1.3930594E-5","2","563"
"quare","1377.926712377691","8375","10260","1.45877575E-5","1.0988544E-7","1.4697643E-5","11","594"
"assist","-1377.2885865537323","8376","7502","-2.4200152E-5","2.531361E-5","1.1134578E-6","2534","45"
"vare","1376.7309285877539","8377","10593","1.3796886E-5","9.989585E-9","1.3806876E-5","1","558"
"dalila","1376.7309285877539","8378","10594","1.3796886E-5","9.989585E-9","1.3806876E-5","1","558"
"colleges","-1376.1350479646144","8379","7588","-2.3799184E-5","2.4764182E-5","9.649967E-7","2479","39"
"limits","-1375.944591694334","8380","6384","-3.07822E-5","3.5532954E-5","4.7507533E-6","3557","192"
"coverage","-1375.7457923393554","8381","8014","-2.1815255E-5","2.2136921E-5","3.216656E-7","2216","13"
"moel","1375.4711416961509","8382","10274","1.4563014E-5","1.0988544E-7","1.4672899E-5","11","593"
"gyp","1375.4711416961509","8383","10275","1.4563014E-5","1.0988544E-7","1.4672899E-5","11","593"
"beauti","1375.468367874684","8384","10555","1.3885871E-5","1.997917E-8","1.390585E-5","2","562"
"lasi","1375.468367874684","8385","10556","1.3885871E-5","1.997917E-8","1.390585E-5","2","562"
"harris","1375.427614256802","8386","5135","4.094395E-5","1.9479692E-5","6.042364E-5","1950","2442"
"bucky","1375.220589788127","8387","10519","1.3974855E-5","2.9968756E-8","1.4004824E-5","3","566"
"declined","-1374.9955091476743","8388","8345","-2.0443917E-5","2.046866E-5","2.4743507E-8","2049","1"
"ceiling","-1374.2596681321693","8389","7805","-2.2711858E-5","2.3305702E-5","5.9384416E-7","2333","24"
"abella","1374.2422132169813","8390","10607","1.3772144E-5","9.989585E-9","1.37821335E-5","1","557"
"pats","1373.9937457415372","8391","9486","1.6662063E-5","5.594168E-7","1.722148E-5","56","696"
"degrees","-1373.8190044341018","8392","6803","-2.7993729E-5","3.0987692E-5","2.9939642E-6","3102","121"
"cherish","1373.312760236172","8393","8623","1.9439794E-5","1.468469E-6","2.0908263E-5","147","845"
"alien","1372.6034632144651","8394","5819","3.493587E-5","1.2546919E-5","4.748279E-5","1256","1919"
"breathing","-1372.047098264563","8395","7685","-2.326313E-5","2.4054922E-5","7.917922E-7","2408","32"
"layne","1371.2425174627692","8396","10370","1.4320804E-5","7.991668E-8","1.4400721E-5","8","582"
"withdrawal","-1370.9318152468375","8397","8361","-2.0383979E-5","2.0408723E-5","2.4743507E-8","2043","1"
"cadi","1370.6644927835478","8398","10501","1.4014353E-5","3.995834E-8","1.4054312E-5","4","568"
"aoife","1370.498003576011","8399","10573","1.3836385E-5","1.997917E-8","1.3856364E-5","2","560"
"roser","1370.498003576011","8400","10574","1.3836385E-5","1.997917E-8","1.3856364E-5","2","560"
"samar","1370.2571733562636","8401","10537","1.3925369E-5","2.9968756E-8","1.3955338E-5","3","564"
"reactions","-1369.771850800067","8402","8322","-2.0519068E-5","2.0568556E-5","4.9487014E-8","2059","2"
"humour","-1369.5957439666997","8403","7969","-2.1990765E-5","2.2386661E-5","3.958961E-7","2241","16"
"poison","1369.0220016230542","8404","6194","3.204671E-5","9.769815E-6","4.1816525E-5","978","1690"
"angelus","1368.650378947055","8405","10108","1.5017465E-5","1.997917E-7","1.5217256E-5","20","615"
"montoya","1368.3611371023096","8406","10360","1.4360301E-5","8.9906266E-8","1.4450207E-5","9","584"
"directions","-1367.7474404003744","8407","8040","-2.169538E-5","2.2017046E-5","3.216656E-7","2204","13"
"gains","-1367.6822024896594","8408","7824","-2.2611963E-5","2.3205806E-5","5.9384416E-7","2323","24"
"hoti","1366.7761058067317","8409","10646","1.3697912E-5","9.989585E-9","1.3707902E-5","1","554"
"rolled","-1366.0829485197987","8410","8259","-2.072931E-5","2.0828285E-5","9.897403E-8","2085","4"
"kentucky","1365.7887122415455","8411","8479","1.9927595E-5","1.6982295E-6","2.1625825E-5","170","874"
"marihuana","1365.527690116502","8412","10599","1.3786897E-5","1.997917E-8","1.3806876E-5","2","558"
"heer","1365.527690116502","8413","10600","1.3786897E-5","1.997917E-8","1.3806876E-5","2","558"
"compromise","-1365.0452045897046","8414","8241","-2.0834434E-5","2.095815E-5","1.2371753E-7","2098","5"
"cardenas","1364.4848958936898","8415","10421","1.4182332E-5","6.99271E-8","1.42522595E-5","7","576"
"ups","1364.1110668460956","8416","7788","2.279016E-5","3.0668027E-6","2.5856963E-5","307","1045"
"johny","1363.229810608276","8417","10534","1.3940123E-5","3.995834E-8","1.3980081E-5","4","565"
"bani","1363.2273536979324","8418","10352","1.4375055E-5","9.989585E-8","1.4474951E-5","10","585"
"butta","1363.0425525651685","8419","10613","1.3762155E-5","1.997917E-8","1.37821335E-5","2","557"
"chap","1363.028164929656","8420","5485","3.766289E-5","1.5733596E-5","5.3396485E-5","1575","2158"
"betz","1362.8121895941329","8421","10567","1.3851139E-5","2.9968756E-8","1.3881107E-5","3","561"
"loma","1362.7095838320954","8422","10205","1.4735757E-5","1.5983336E-7","1.48955905E-5","16","602"
"brunette","1362.3947646420686","8423","9419","1.686908E-5","6.4932306E-7","1.7518403E-5","65","708"
"stability","-1362.0735341883017","8424","8151","-2.1224949E-5","2.144764E-5","2.2269155E-7","2147","9"
"flight","-1361.9700822907314","8425","5312","-3.9114573E-5","5.1486324E-5","1.2371753E-5","5154","500"
"losers","1361.6867964662642","8426","7593","2.3779596E-5","3.636209E-6","2.7415805E-5","364","1108"
"dolls","1361.5435056519873","8427","7410","2.4645775E-5","4.1556673E-6","2.8801442E-5","416","1164"
"hatt","1361.027804238627","8428","8679","1.9222327E-5","1.4385002E-6","2.0660827E-5","144","835"
"jase","1360.7516328690629","8429","10540","1.3915379E-5","3.995834E-8","1.3955338E-5","4","564"
"awe","1360.709219471844","8430","7103","2.6332946E-5","5.2645114E-6","3.1597458E-5","527","1277"
"torre","1360.3620195879648","8431","9509","1.6592598E-5","5.7939593E-7","1.7171993E-5","58","694"
"stored","-1360.2538896792933","8432","8111","-2.1395232E-5","2.166741E-5","2.7217857E-7","2169","11"
"jakob","1360.1411581280563","8433","9745","1.5960639E-5","4.1956258E-7","1.6380201E-5","42","662"
"chances","-1360.0557661000034","8434","6887","-2.7593223E-5","3.0488214E-5","2.8949903E-6","3052","117"
"metro","1359.882972042522","8435","7422","2.4591522E-5","4.1356884E-6","2.872721E-5","414","1161"
"dood","1359.3100569396358","8436","10676","1.3623682E-5","9.989585E-9","1.3633672E-5","1","551"
"khair","1359.3100569396358","8437","10677","1.3623682E-5","9.989585E-9","1.3633672E-5","1","551"
"chela","1358.9231621438475","8438","10058","1.51259665E-5","2.3975005E-7","1.5365717E-5","24","621"
"honk","1357.919466111718","8439","10168","1.48542495E-5","1.8980212E-7","1.5044052E-5","19","608"
"montero","1357.8489617902057","8440","10590","1.3801651E-5","2.9968756E-8","1.383162E-5","3","559"
"kiah","1357.2357026266254","8441","9230","1.7392074E-5","8.19146E-7","1.821122E-5","82","736"
"mev","1356.9350261769173","8442","9834","1.5713664E-5","3.6961467E-7","1.6083279E-5","37","650"
"porsche","1356.8737926937113","8443","7991","2.191307E-5","2.6572297E-6","2.4570301E-5","266","993"
"whiskers","1355.9196387247252","8444","8518","1.9789122E-5","1.6882399E-6","2.1477363E-5","169","868"
"geri","1355.5872171766716","8445","10650","1.36879235E-5","1.997917E-8","1.3707902E-5","2","554"
"mura","1355.499531909091","8446","10500","1.4019118E-5","5.993751E-8","1.4079055E-5","6","569"
"ingle","1355.3904594320259","8447","10232","1.4661527E-5","1.5983336E-7","1.482136E-5","16","599"
"sono","1355.3673765023095","8448","10605","1.37769075E-5","2.9968756E-8","1.3806876E-5","3","558"
"vidal","1355.1969477914004","8449","9382","1.6967593E-5","6.9927097E-7","1.7666864E-5","70","714"
"maxima","1354.7484882285194","8450","9396","1.6928096E-5","6.8928136E-7","1.7617376E-5","69","712"
"doubts","-1354.2964322994112","8451","8252","-2.078971E-5","2.093817E-5","1.4846104E-7","2096","6"
"perception","-1353.752173313294","8452","8094","-2.1485599E-5","2.1807266E-5","3.216656E-7","2183","13"
"eighteenth","-1353.5404960409112","8453","8390","-2.0279318E-5","2.0328805E-5","4.9487014E-8","2035","2"
"queens","1353.2926642296259","8454","7195","2.5820864E-5","4.984803E-6","3.0805666E-5","499","1245"
"routes","-1353.2136403341253","8455","8209","-2.0989963E-5","2.118791E-5","1.9794805E-7","2121","8"
"sambo","1352.7716258976434","8456","10109","1.501224E-5","2.2976046E-7","1.5242E-5","23","616"
"peg","1352.7667403407652","8457","6738","2.8367145E-5","6.842866E-6","3.521001E-5","685","1423"
"reserves","-1352.4674178074781","8458","8053","-2.1645894E-5","2.2017046E-5","3.711526E-7","2204","15"
"judgement","-1352.443582450055","8459","7571","-2.387572E-5","2.5013922E-5","1.1382012E-6","2504","46"
"leks","1352.3018080641175","8460","10267","1.4572543E-5","1.4984379E-7","1.4722386E-5","15","595"
"myse","1351.8440672543513","8461","10704","1.3549452E-5","9.989585E-9","1.3559442E-5","1","548"
"uris","1351.8440672543513","8462","10705","1.3549452E-5","9.989585E-9","1.3559442E-5","1","548"
"taste","-1351.6791364236433","8463","5956","-3.3929988E-5","4.1476756E-5","7.546769E-6","4152","305"
"gilberto","1351.186904570437","8464","10031","1.5194973E-5","2.697188E-7","1.5464691E-5","27","625"
"engine","-1351.1590494582667","8465","5407","-3.8314633E-5","5.00678E-5","1.1753165E-5","5012","475"
"chantal","1350.9414972025384","8466","8997","1.8122086E-5","1.0788752E-6","1.9200961E-5","108","776"
"reception","-1350.9216811601955","8467","7671","-2.3344428E-5","2.4284682E-5","9.4025324E-7","2431","38"
"waka","1350.6170584370875","8468","10671","1.3638437E-5","1.997917E-8","1.3658416E-5","2","552"
"signal","-1350.6083458900266","8469","6745","-2.8312319E-5","3.1726922E-5","3.414604E-6","3176","138"
"marjorie","1350.3591300478379","8470","7291","2.529925E-5","4.665136E-6","2.9964387E-5","467","1211"
"cupid","1350.2073332338352","8471","9301","1.7184599E-5","7.7918764E-7","1.7963786E-5","78","726"
"valid","-1350.036717583079","8472","7908","-2.2267091E-5","2.2836191E-5","5.691006E-7","2286","23"
"subway","1349.4473586999795","8473","8690","1.9167615E-5","1.468469E-6","2.0636084E-5","147","834"
"ulla","1349.273282693649","8474","10559","1.3880646E-5","4.9947925E-8","1.3930594E-5","5","563"
"ideology","-1348.5865919077307","8475","8245","-2.0814914E-5","2.0988118E-5","1.7320454E-7","2101","7"
"lessons","-1347.9143269980132","8476","7880","-2.2387427E-5","2.3006014E-5","6.1858765E-7","2303","25"
"wondering","-1347.530717928762","8477","7543","-2.3981303E-5","2.5193734E-5","1.2124318E-6","2522","49"
"genuine","-1347.463071024552","8478","6607","-2.9232127E-5","3.3265318E-5","4.0331915E-6","3330","163"
"corridor","-1347.2433838774932","8479","8250","-2.0794936E-5","2.096814E-5","1.7320454E-7","2099","7"
"avar","1347.2089417562208","8480","10506","1.4009128E-5","6.99271E-8","1.4079055E-5","7","569"
"traci","1346.8667739964158","8481","10726","1.3499965E-5","9.989585E-9","1.3509954E-5","1","546"
"married","-1346.5691031582205","8482","3814","-5.8800724E-5","1.013843E-4","4.2583575E-5","10149","1721"
"linc","1346.449476680469","8483","10342","1.4394574E-5","1.298646E-7","1.45244385E-5","13","587"
"dink","1346.0199692778679","8484","10416","1.4201851E-5","9.989585E-8","1.4301747E-5","10","578"
"kitti","1345.883093971022","8485","10612","1.3766918E-5","3.995834E-8","1.3806876E-5","4","558"
"landed","-1345.8207845364223","8486","8081","-2.1545999E-5","2.191715E-5","3.711526E-7","2194","15"
"landing","-1345.7956727364992","8487","7605","-2.3710661E-5","2.482412E-5","1.1134578E-6","2485","45"
"bogo","1345.6469520182554","8488","10691","1.35889495E-5","1.997917E-8","1.3608928E-5","2","550"
"installed","-1345.5147006688294","8489","8315","-2.0544736E-5","2.0668453E-5","1.2371753E-7","2069","5"
"boos","1345.4080893575642","8490","9643","1.6207152E-5","5.194584E-7","1.672661E-5","52","676"
"sley","1344.3781374000444","8491","10740","1.3475221E-5","9.989585E-9","1.3485211E-5","1","545"
"redwings","1344.3241133418837","8492","10575","1.383116E-5","4.9947925E-8","1.3881107E-5","5","561"
"aias","1344.3241133418837","8493","10576","1.383116E-5","4.9947925E-8","1.3881107E-5","5","561"
"broken","1343.9251915655268","8494","3330","6.788902E-5","7.156539E-5","1.3945441E-4","7164","5636"
"backing","-1343.3961807472897","8495","8419","-2.0129475E-5","2.0178963E-5","4.9487014E-8","2020","2"
"sheri","1343.1433911250801","8496","10549","1.38954E-5","5.993751E-8","1.3955338E-5","6","564"
"sera","1342.8824149726167","8497","8637","1.939415E-5","1.588344E-6","2.0982494E-5","159","848"
"sharks","1342.5885835385461","8498","8183","2.110929E-5","2.3475525E-6","2.3456843E-5","235","948"
"rossy","1341.8895075247924","8499","10757","1.3450477E-5","9.989585E-9","1.3460467E-5","1","544"
"mortality","-1341.6490864286448","8500","7955","-2.2062075E-5","2.2606431E-5","5.4435714E-7","2263","22"
"chao","1341.6045478405194","8501","9949","1.5421969E-5","3.396459E-7","1.5761614E-5","34","637"
"suarez","1341.1041003546286","8502","10440","1.4152363E-5","9.989585E-8","1.42522595E-5","10","576"
"crayola","1340.927117459773","8503","10634","1.3717431E-5","3.995834E-8","1.375739E-5","4","556"
"pancake","1340.4347237486213","8504","9005","1.8092118E-5","1.108844E-6","1.9200961E-5","111","776"
"guerra","1339.9045866156127","8505","9883","1.5579957E-5","3.7960424E-7","1.5959562E-5","38","645"
"buggy","1339.797795724207","8506","8377","2.0320727E-5","1.997917E-6","2.2318643E-5","200","902"
"hark","1339.4489558472028","8507","9249","1.7327373E-5","8.591043E-7","1.8186478E-5","86","735"
"bambino","1338.802765804892","8508","10392","1.4256102E-5","1.1987503E-7","1.4375977E-5","12","581"
"zeke","1338.2943681758045","8509","9685","1.6093425E-5","5.0946886E-7","1.6602893E-5","51","671"
"zone","1337.848849901744","8510","4798","4.4545457E-5","2.5503412E-5","7.004887E-5","2553","2831"
"mags","1337.7292524845795","8511","9482","1.6675895E-5","6.693022E-7","1.7345197E-5","67","701"
"conversion","-1337.5397689149816","8512","8190","-2.1055586E-5","2.1327765E-5","2.7217857E-7","2135","11"
"exact","-1337.4432298990741","8513","7901","-2.2302745E-5","2.2946077E-5","6.433312E-7","2297","26"
"reebok","1337.3186930143045","8514","9496","1.6636399E-5","6.593126E-7","1.7295712E-5","66","699"
"convenient","-1337.2104624871","8515","8412","-2.0174659E-5","2.024889E-5","7.423052E-8","2027","3"
"literally","-1337.0683797299382","8516","8487","-1.98845E-5","1.9909243E-5","2.4743507E-8","1993","1"
"stink","1336.5775996390607","8517","8312","2.054726E-5","2.117792E-6","2.2665052E-5","212","916"
"denny","1336.4481268365278","8518","8738","1.9019155E-5","1.468469E-6","2.0487623E-5","147","828"
"formerly","-1336.3911236464676","8519","8491","-1.987451E-5","1.9899253E-5","2.4743507E-8","1992","1"
"deciding","-1335.957156060623","8520","8448","-2.001959E-5","2.0069077E-5","4.9487014E-8","2009","2"
"longhorn","1335.9325541447972","8521","9771","1.5871194E-5","4.5952092E-7","1.6330714E-5","46","660"
"operated","-1335.8266295495857","8522","8286","-2.0625112E-5","2.0798316E-5","1.7320454E-7","2082","7"
"entering","-1335.0604103292653","8523","7977","-2.196218E-5","2.2506536E-5","5.4435714E-7","2253","22"
"sign","-1334.8698472947071","8524","4219","-5.220149E-5","8.340305E-5","3.120156E-5","8349","1261"
"marginal","-1334.7479411527788","8525","8137","-2.1291033E-5","2.1637441E-5","3.4640908E-7","2166","14"
"democrats","-1333.9283518827265","8526","8456","-1.998962E-5","2.0039108E-5","4.9487014E-8","2006","2"
"arman","1333.7307418813919","8527","10470","1.4078133E-5","9.989585E-8","1.4178029E-5","10","573"
"threatening","-1333.6821043553632","8528","8506","-1.9834551E-5","1.9859295E-5","2.4743507E-8","1988","1"
"cine","1333.5751041651567","8529","9779","1.584645E-5","4.5952092E-7","1.630597E-5","46","659"
"gilmore","1332.9279599792042","8530","9577","1.637467E-5","5.9937514E-7","1.6974045E-5","60","686"
"discrimination","-1331.8995566421715","8531","8472","-1.9959652E-5","2.000914E-5","4.9487014E-8","2003","2"
"nasty","1331.6792585912158","8532","5340","3.8919286E-5","1.7941295E-5","5.686058E-5","1796","2298"
"skit","1331.281576285322","8533","10452","1.4117631E-5","1.0988544E-7","1.4227516E-5","11","575"
"truly","-1331.0762630234403","8534","6741","-2.8339367E-5","3.1976662E-5","3.6372953E-6","3201","147"
"stitch","1330.9883703488413","8535","6419","3.0520452E-5","8.9207E-6","3.944115E-5","893","1594"
"nael","1329.4464598349653","8536","10820","1.332676E-5","9.989585E-9","1.333675E-5","1","539"
"dominik","1329.4464598349653","8537","10821","1.332676E-5","9.989585E-9","1.333675E-5","1","539"
"andrade","1329.3426077602703","8538","10315","1.445359E-5","1.6982295E-7","1.4623412E-5","17","591"
"twiggy","1328.902516118762","8539","9566","1.6404178E-5","6.193543E-7","1.7023533E-5","62","688"
"gret","1328.2519971097438","8540","10771","1.3415745E-5","1.997917E-8","1.3435724E-5","2","543"
"chosen","-1327.9023339111602","8541","5005","-4.246537E-5","5.9587877E-5","1.7122506E-5","5965","692"
"imagine","-1327.8529017710366","8542","4963","-4.293042E-5","6.0646773E-5","1.7716351E-5","6071","716"
"pressing","-1327.7683033515145","8543","8329","-2.0505237E-5","2.067844E-5","1.7320454E-7","2070","7"
"iron","1327.6451747260958","8544","3934","5.6769117E-5","4.745053E-5","1.04219645E-4","4750","4212"
"acis","1327.4675603547032","8545","10589","1.381118E-5","6.99271E-8","1.3881107E-5","7","561"
"raper","1327.4312118169628","8546","9897","1.5535235E-5","3.995834E-7","1.5934818E-5","40","644"
"sustained","-1327.3969359809823","8547","8359","-2.0390127E-5","2.0538588E-5","1.4846104E-7","2056","6"
"wilma","1327.2293498841404","8548","10071","1.5090773E-5","2.9968757E-7","1.539046E-5","30","622"
"gip","1327.0030185854364","8549","10662","1.3657955E-5","4.9947925E-8","1.3707902E-5","5","554"
"applying","-1326.9095916051654","8550","8536","-1.9734656E-5","1.97594E-5","2.4743507E-8","1978","1"
"implies","-1326.9095916051654","8551","8537","-1.9734656E-5","1.97594E-5","2.4743507E-8","1978","1"
"transition","-1326.860209638315","8552","7819","-2.2639011E-5","2.3455546E-5","8.165357E-7","2348","33"
"heating","-1326.7638800074196","8553","8163","-2.1171158E-5","2.1517566E-5","3.4640908E-7","2154","14"
"squishy","1326.3729069601857","8554","10477","1.4068144E-5","1.0988544E-7","1.4178029E-5","11","573"
"anubis","1326.121858291949","8555","10358","1.4364605E-5","1.5983336E-7","1.45244385E-5","16","587"
"raye","1325.7670572236548","8556","10786","1.3391002E-5","1.997917E-8","1.34109805E-5","2","542"
"catcher","1325.4108137314747","8557","9633","1.6221446E-5","5.7939593E-7","1.6800841E-5","58","679"
"australian","-1324.9696327251127","8558","7525","-2.4093031E-5","2.5503412E-5","1.4103798E-6","2553","57"
"expenses","-1324.3799941897269","8559","8458","-1.9984856E-5","2.0059088E-5","7.423052E-8","2008","3"
"mechanisms","-1324.3799941897269","8560","8459","-1.9984856E-5","2.0059088E-5","7.423052E-8","2008","3"
"reckon","-1324.284748419945","8561","8257","-2.0760663E-5","2.1008098E-5","2.4743505E-7","2103","10"
"burn","1324.2646642374195","8562","5416","3.8237682E-5","1.7262004E-5","5.5499684E-5","1728","2243"
"titles","-1324.1027176892703","8563","8176","-2.11312E-5","2.1477608E-5","3.4640908E-7","2150","14"
"raver","1323.9186708001957","8564","10489","1.40434E-5","1.0988544E-7","1.41532855E-5","11","572"
"punisher","1323.6720973172512","8565","10248","1.4611579E-5","2.0978129E-7","1.482136E-5","21","599"
"sciences","-1322.5567222847603","8566","8281","-2.0635562E-5","2.0858253E-5","2.2269155E-7","2088","9"
"forgot","1322.4062891943927","8567","5553","3.6999118E-5","1.5803524E-5","5.2802643E-5","1582","2134"
"double","-1322.0315634158324","8568","4329","-5.0441173E-5","7.926736E-5","2.8826185E-5","7935","1165"
"lissy","1321.9807134771847","8569","10857","1.3252529E-5","9.989585E-9","1.3262519E-5","1","536"
"catt","1321.9683104494625","8570","10443","1.4147138E-5","1.298646E-7","1.4277003E-5","13","577"
"aids","-1320.2772875212968","8571","6729","-2.8425893E-5","3.2236392E-5","3.8105E-6","3227","154"
"besa","1319.5801743304646","8572","10692","1.35837245E-5","4.9947925E-8","1.3633672E-5","5","551"
"desperately","-1319.4598866126105","8573","8569","-1.9624771E-5","1.9649515E-5","2.4743507E-8","1967","1"
"vicki","1319.4148123181478","8574","8198","2.1034139E-5","2.4474484E-6","2.3481587E-5","245","949"
"space","-1319.0797023251775","8575","3412","-6.625675E-5","1.2640821E-4","6.0151462E-5","12654","2431"
"amaru","1318.8067219444963","8576","10381","1.4290374E-5","1.5983336E-7","1.4450207E-5","16","584"
"agen","1318.7868606690897","8577","10067","1.50955375E-5","3.1966673E-7","1.5415204E-5","32","623"
"shara","1318.6265057742205","8578","10730","1.34947395E-5","3.995834E-8","1.3534698E-5","4","547"
"polit","1318.145936384818","8579","10778","1.3405755E-5","2.9968756E-8","1.3435724E-5","3","543"
"outlined","-1318.105401491902","8580","8573","-1.9604791E-5","1.9629535E-5","2.4743507E-8","1965","1"
"drug","-1317.8776514556923","8581","5439","-3.8059057E-5","5.0257604E-5","1.2198549E-5","5031","493"
"sully","1317.6793061331641","8582","10299","1.4497851E-5","1.997917E-7","1.4697643E-5","20","594"
"haze","1317.212093844143","8583","7690","2.3240003E-5","3.6561883E-6","2.6896192E-5","366","1087"
"jule","1317.1059580391443","8584","10702","1.3558981E-5","4.9947925E-8","1.3608928E-5","5","550"
"balt","1317.003583938403","8585","10884","1.3203043E-5","9.989585E-9","1.3213033E-5","1","534"
"pote","1317.003583938403","8586","10885","1.3203043E-5","9.989585E-9","1.3213033E-5","1","534"
"architecture","-1316.848019707342","8587","7169","-2.599028E-5","2.8390401E-5","2.4001201E-6","2842","97"
"gastric","-1316.5299723696548","8588","8314","-2.0545656E-5","2.0768348E-5","2.2269155E-7","2079","9"
"stanley","1316.0899688558095","8589","5820","3.4931418E-5","1.35658565E-5","4.8497273E-5","1358","1960"
"declaration","-1315.9660114229132","8590","8404","-2.0220305E-5","2.0368765E-5","1.4846104E-7","2039","6"
"guar","1315.253292646458","8591","10306","1.44731075E-5","1.997917E-7","1.4672899E-5","20","593"
"yield","-1314.8991234288535","8592","8247","-2.081107E-5","2.1107993E-5","2.9692208E-7","2113","12"
"dubb","1314.5150296568618","8593","10897","1.3178299E-5","9.989585E-9","1.3188289E-5","1","533"
"melani","1314.5150296568618","8594","10898","1.3178299E-5","9.989585E-9","1.3188289E-5","1","533"
"rosemarie","1314.2831257889354","8595","10166","1.4863317E-5","2.797084E-7","1.5143026E-5","28","612"
